"","abat","abov","abpa","amae","amlu","amov","amsi","amti","assp","babu","caau","cacr","cacv","cait","cane","capr","cavi","clfo","dygl","hala","lema","lias","lopi","mela","nebr","nobi","noru","plde","plli","pocu","ptma","ptme","ptni","ptob","ptst","syvi","index","plot","Ptrap","Nper_plot.Ptrap"
"110-4_PE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PE","110-4","PE",3
"110-4_PN",1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"110-4_PN","110-4","PN",3
"110-4_PS",0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PS","110-4","PS",4
"110-4_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PW","110-4","PW",4
"111-1_PE",4,0,6,0,0,0,0,0,0,0,0,0,9,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"111-1_PE","111-1","PE",6
"111-1_PN",5,0,3,0,0,0,0,0,0,0,0,0,3,0,5,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"111-1_PN","111-1","PN",6
"111-1_PS",10,0,3,0,0,0,0,0,0,0,0,0,1,0,15,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"111-1_PS","111-1","PS",5
"111-1_PW",7,0,8,0,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111-1_PW","111-1","PW",5
"111-3_PE",3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"111-3_PE","111-3","PE",6
"111-3_PN",4,0,5,0,1,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111-3_PN","111-3","PN",4
"111-3_PS",2,0,9,0,1,0,0,0,0,1,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"111-3_PS","111-3","PS",5
"111-3_PW",5,0,4,0,0,0,0,0,0,0,0,0,0,0,10,1,18,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,"111-3_PW","111-3","PW",6
"125-3_PE",3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PE","125-3","PE",4
"125-3_PN",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PN","125-3","PN",6
"125-3_PS",6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PS","125-3","PS",5
"125-3_PW",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PW","125-3","PW",5
"139-2_PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PE","139-2","PE",4
"139-2_PN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PN","139-2","PN",5
"139-2_PS",0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PS","139-2","PS",6
"139-2_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PW","139-2","PW",4
"139-4_PE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PE","139-4","PE",5
"139-4_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PN","139-4","PN",3
"139-4_PS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"139-4_PS","139-4","PS",6
"139-4_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PW","139-4","PW",4
"14-1_PE",5,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14-1_PE","14-1","PE",5
"14-1_PN",2,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"14-1_PN","14-1","PN",6
"14-1_PS",5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,"14-1_PS","14-1","PS",4
"14-1_PW",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14-1_PW","14-1","PW",4
"14-2_PE",6,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14-2_PE","14-2","PE",3
"14-2_PN",5,0,2,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"14-2_PN","14-2","PN",5
"14-2_PS",5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14-2_PS","14-2","PS",6
"14-2_PW",3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"14-2_PW","14-2","PW",6
"144-3_PE",1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"144-3_PE","144-3","PE",2
"144-3_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PN","144-3","PN",2
"144-3_PS",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PS","144-3","PS",4
"144-3_PW",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PW","144-3","PW",2
"15-2_PE",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"15-2_PE","15-2","PE",2
"15-2_PN",13,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15-2_PN","15-2","PN",4
"15-2_PS",4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"15-2_PS","15-2","PS",5
"15-2_PW",9,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15-2_PW","15-2","PW",5
"166-2_PE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-2_PE","166-2","PE",5
"166-2_PN",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-2_PN","166-2","PN",4
"166-2_PS",7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-2_PS","166-2","PS",6
"166-2_PW",3,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-2_PW","166-2","PW",5
"166-4_PE",1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-4_PE","166-4","PE",6
"166-4_PN",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"166-4_PN","166-4","PN",6
"166-4_PS",2,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"166-4_PS","166-4","PS",6
"166-4_PW",6,0,5,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-4_PW","166-4","PW",5
"215-2_PE",3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"215-2_PE","215-2","PE",6
"215-2_PN",22,0,10,0,0,0,0,0,0,0,1,0,1,0,0,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"215-2_PN","215-2","PN",5
"215-2_PS",5,0,6,0,1,0,0,0,0,0,1,1,0,0,1,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-2_PS","215-2","PS",6
"215-2_PW",6,0,2,0,0,0,0,0,0,0,0,3,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-2_PW","215-2","PW",6
"215-3_PE",4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-3_PE","215-3","PE",6
"215-3_PN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-3_PN","215-3","PN",6
"215-3_PS",5,0,7,0,0,0,0,0,0,0,0,4,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-3_PS","215-3","PS",6
"215-3_PW",5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"215-3_PW","215-3","PW",6
"216-4_PE",13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"216-4_PE","216-4","PE",5
"216-4_PN",2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"216-4_PN","216-4","PN",6
"216-4_PS",6,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"216-4_PS","216-4","PS",6
"216-4_PW",7,0,6,0,0,0,0,0,0,0,0,6,0,0,1,4,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"216-4_PW","216-4","PW",6
"219-1_PE",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"219-1_PE","219-1","PE",6
"219-1_PN",1,0,2,0,0,0,0,0,0,0,2,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,"219-1_PN","219-1","PN",6
"219-1_PS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"219-1_PS","219-1","PS",6
"219-1_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,"219-1_PW","219-1","PW",6
"219-4_PE",7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,"219-4_PE","219-4","PE",6
"219-4_PN",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"219-4_PN","219-4","PN",6
"219-4_PS",9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"219-4_PS","219-4","PS",6
"219-4_PW",5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,"219-4_PW","219-4","PW",6
"245-2_PE",21,0,10,0,0,0,0,0,0,1,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"245-2_PE","245-2","PE",6
"245-2_PN",12,0,6,0,0,0,0,0,0,1,0,1,1,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"245-2_PN","245-2","PN",6
"245-2_PS",6,0,2,0,0,0,0,0,0,0,2,2,1,0,0,9,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"245-2_PS","245-2","PS",6
"245-2_PW",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"245-2_PW","245-2","PW",6
"255-1_PE",10,0,3,0,0,0,0,0,0,0,1,2,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"255-1_PE","255-1","PE",6
"255-1_PN",1,1,7,0,0,0,0,0,0,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"255-1_PN","255-1","PN",5
"255-1_PS",5,0,5,0,0,0,0,0,1,0,0,0,1,0,8,1,2,0,0,0,0,7,0,30,3,1,2,0,0,0,1,0,0,0,1,0,"255-1_PS","255-1","PS",6
"255-1_PW",1,0,8,0,0,0,0,0,0,0,0,0,5,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"255-1_PW","255-1","PW",6
"45-4_PE",2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"45-4_PE","45-4","PE",2
"45-4_PN",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"45-4_PN","45-4","PN",3
"45-4_PS",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"45-4_PS","45-4","PS",3
"45-4_PW",24,0,8,0,0,0,0,0,0,0,1,0,0,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45-4_PW","45-4","PW",6
"50-3_PE",7,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"50-3_PE","50-3","PE",4
"50-3_PN",5,0,0,0,0,0,0,0,0,0,12,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,"50-3_PN","50-3","PN",6
"50-3_PS",5,0,5,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50-3_PS","50-3","PS",5
"50-3_PW",7,0,1,0,0,0,1,0,0,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50-3_PW","50-3","PW",6
"55-4_PE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PE","55-4","PE",3
"55-4_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PN","55-4","PN",2
"55-4_PS",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PS","55-4","PS",3
"55-4_PW",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PW","55-4","PW",4
"61-3_PE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"61-3_PE","61-3","PE",5
"61-3_PN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-3_PN","61-3","PN",2
"61-3_PS",4,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"61-3_PS","61-3","PS",3
"61-3_PW",2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-3_PW","61-3","PW",3
"61-4_PE",1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"61-4_PE","61-4","PE",5
"61-4_PN",4,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-4_PN","61-4","PN",5
"61-4_PS",4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"61-4_PS","61-4","PS",5
"61-4_PW",2,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-4_PW","61-4","PW",5
"75-4_PE",11,1,7,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"75-4_PE","75-4","PE",4
"75-4_PN",10,1,7,0,0,0,0,0,0,0,0,0,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75-4_PN","75-4","PN",6
"75-4_PS",19,5,20,0,0,0,0,0,0,0,1,0,0,1,12,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"75-4_PS","75-4","PS",6
"75-4_PW",7,0,4,0,0,0,0,0,0,0,0,0,1,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"75-4_PW","75-4","PW",3
