plot_Ptrap_per;plot_Ptrap;plot;Ptrap;period;Perturbation;selection
14-1_PE_1;14-1_PE;14-janv;PE;1;OK;1
14-1_PN_1;14-1_PN;14-janv;PN;1;OK;1
14-1_PS_1;14-1_PS;14-janv;PS;1;OK;1
14-1_PW_1;14-1_PW;14-janv;PW;1;OK;1
14-2_PE_1;14-2_PE;14-févr;PE;1;OK;1
14-2_PN_1;14-2_PN;14-févr;PN;1;OK;1
14-2_PS_1;14-2_PS;14-févr;PS;1;OK;1
14-2_PW_1;14-2_PW;14-févr;PW;1;OK;1
15-2_PE_1;15-2_PE;15-févr;PE;1;T;1
15-2_PN_1;15-2_PN;15-févr;PN;1;OK;1
15-2_PS_1;15-2_PS;15-févr;PS;1;OK;1
15-2_PW_1;15-2_PW;15-févr;PW;1;OK;1
45-4_PE_1;45-4_PE;45-4;PE;1;OK;1
45-4_PN_1;45-4_PN;45-4;PN;1;P-TB;0
45-4_PS_1;45-4_PS;45-4;PS;1;TB;1
45-4_PW_1;45-4_PW;45-4;PW;1;OK;1
50-3_PE_1;50-3_PE;50-3;PE;1;S;0
50-3_PN_1;50-3_PN;50-3;PN;1;OK;1
50-3_PS_1;50-3_PS;50-3;PS;1;OK;1
50-3_PW_1;50-3_PW;50-3;PW;1;OK;1
55-4_PE_1;55-4_PE;55-4;PE;1;OK;1
55-4_PN_1;55-4_PN;55-4;PN;1;P-T;0
55-4_PS_1;55-4_PS;55-4;PS;1;OK;1
55-4_PW_1;55-4_PW;55-4;PW;1;OK;1
61-3_PE_1;61-3_PE;61-3;PE;1;OK;1
61-3_PN_1;61-3_PN;61-3;PN;1;S;0
61-3_PS_1;61-3_PS;61-3;PS;1;OK;1
61-3_PW_1;61-3_PW;61-3;PW;1;OK;1
61-4_PE_1;61-4_PE;61-4;PE;1;OK;1
61-4_PN_1;61-4_PN;61-4;PN;1;OK;1
61-4_PS_1;61-4_PS;61-4;PS;1;OK;1
61-4_PW_1;61-4_PW;61-4;PW;1;OK;1
75-4_PE_1;75-4_PE;75-4;PE;1;OK;1
75-4_PN_1;75-4_PN;75-4;PN;1;TB;1
75-4_PS_1;75-4_PS;75-4;PS;1;OK;1
75-4_PW_1;75-4_PW;75-4;PW;1;PST;0
110-4_PE_1;110-4_PE;110-4;PE;1;OK;1
110-4_PN_1;110-4_PN;110-4;PN;1;OK;1
110-4_PS_1;110-4_PS;110-4;PS;1;OK;1
110-4_PW_1;110-4_PW;110-4;PW;1;OK;1
111-1_PE_1;111-1_PE;111-1;PE;1;OK;1
111-1_PN_1;111-1_PN;111-1;PN;1;OK;1
111-1_PS_1;111-1_PS;111-1;PS;1;OK;1
111-1_PW_1;111-1_PW;111-1;PW;1;OK;1
111-3_PE_1;111-3_PE;111-3;PE;1;OK;1
111-3_PN_1;111-3_PN;111-3;PN;1;OK;1
111-3_PS_1;111-3_PS;111-3;PS;1;OK;1
111-3_PW_1;111-3_PW;111-3;PW;1;OK;1
125-3_PE_1;125-3_PE;125-3;PE;1;OK;1
125-3_PN_1;125-3_PN;125-3;PN;1;OK;1
125-3_PS_1;125-3_PS;125-3;PS;1;OK;1
125-3_PW_1;125-3_PW;125-3;PW;1;OK;1
139-2_PE_1;139-2_PE;139-2;PE;1;OK;1
139-2_PN_1;139-2_PN;139-2;PN;1;OK;1
139-2_PS_1;139-2_PS;139-2;PS;1;OK;1
139-2_PW_1;139-2_PW;139-2;PW;1;OK;1
139-4_PE_1;139-4_PE;139-4;PE;1;OK;1
139-4_PN_1;139-4_PN;139-4;PN;1;OK;1
139-4_PS_1;139-4_PS;139-4;PS;1;OK;1
139-4_PW_1;139-4_PW;139-4;PW;1;OK;1
144-3_PE_1;144-3_PE;144-3;PE;1;OK;1
144-3_PN_1;144-3_PN;144-3;PN;1;OK;1
144-3_PS_1;144-3_PS;144-3;PS;1;OK;1
144-3_PW_1;144-3_PW;144-3;PW;1;OK;1
166-2_PE_1;166-2_PE;166-2;PE;1;OK;1
166-2_PN_1;166-2_PN;166-2;PN;1;OK;1
166-2_PS_1;166-2_PS;166-2;PS;1;OK;1
166-2_PW_1;166-2_PW;166-2;PW;1;TB;1
166-4_PE_1;166-4_PE;166-4;PE;1;OK;1
166-4_PN_1;166-4_PN;166-4;PN;1;OK;1
166-4_PS_1;166-4_PS;166-4;PS;1;OK;1
166-4_PW_1;166-4_PW;166-4;PW;1;OK;1
215-2_PE_1;215-2_PE;215-2;PE;1;OK;1
215-2_PN_1;215-2_PN;215-2;PN;1;OK;1
215-2_PS_1;215-2_PS;215-2;PS;1;OK;1
215-2_PW_1;215-2_PW;215-2;PW;1;OK;1
215-3_PE_1;215-3_PE;215-3;PE;1;OK;1
215-3_PN_1;215-3_PN;215-3;PN;1;OK;1
215-3_PS_1;215-3_PS;215-3;PS;1;OK;1
215-3_PW_1;215-3_PW;215-3;PW;1;OK;1
216-4_PE_1;216-4_PE;216-4;PE;1;OK;1
216-4_PN_1;216-4_PN;216-4;PN;1;OK;1
216-4_PS_1;216-4_PS;216-4;PS;1;OK;1
216-4_PW_1;216-4_PW;216-4;PW;1;OK;1
219-1_PE_1;219-1_PE;219-1;PE;1;OK;1
219-1_PN_1;219-1_PN;219-1;PN;1;OK;1
219-1_PS_1;219-1_PS;219-1;PS;1;OK;1
219-1_PW_1;219-1_PW;219-1;PW;1;OK;1
219-4_PE_1;219-4_PE;219-4;PE;1;OK;1
219-4_PN_1;219-4_PN;219-4;PN;1;OK;1
219-4_PS_1;219-4_PS;219-4;PS;1;OK;1
219-4_PW_1;219-4_PW;219-4;PW;1;OK;1
245-2_PE_1;245-2_PE;245-2;PE;1;OK;1
245-2_PN_1;245-2_PN;245-2;PN;1;OK;1
245-2_PS_1;245-2_PS;245-2;PS;1;OK;1
245-2_PW_1;245-2_PW;245-2;PW;1;OK;1
255-1_PE_1;255-1_PE;255-1;PE;1;OK;1
255-1_PN_1;255-1_PN;255-1;PN;1;OK;1
255-1_PS_1;255-1_PS;255-1;PS;1;OK;1
255-1_PW_1;255-1_PW;255-1;PW;1;OK;1
14-1_PE_2;14-1_PE;14-janv;PE;2;OK;1
14-1_PN_2;14-1_PN;14-janv;PN;2;OK;1
14-1_PS_2;14-1_PS;14-janv;PS;2;OK;1
14-1_PW_2;14-1_PW;14-janv;PW;2;OK;1
14-2_PE_2;14-2_PE;14-févr;PE;2;OK;1
14-2_PN_2;14-2_PN;14-févr;PN;2;OK;1
14-2_PS_2;14-2_PS;14-févr;PS;2;OK;1
14-2_PW_2;14-2_PW;14-févr;PW;2;OK;1
15-2_PE_2;15-2_PE;15-févr;PE;2;OK;1
15-2_PN_2;15-2_PN;15-févr;PN;2;OK;1
15-2_PS_2;15-2_PS;15-févr;PS;2;OK;1
15-2_PW_2;15-2_PW;15-févr;PW;2;OK;1
45-4_PE_2;45-4_PE;45-4;PE;2;HS;0
45-4_PN_2;45-4_PN;45-4;PN;2;HS;0
45-4_PS_2;45-4_PS;45-4;PS;2;HS;0
45-4_PW_2;45-4_PW;45-4;PW;2;Ok;1
50-3_PE_2;50-3_PE;50-3;PE;2;OK;1
50-3_PN_2;50-3_PN;50-3;PN;2;OK;1
50-3_PS_2;50-3_PS;50-3;PS;2;OK;1
50-3_PW_2;50-3_PW;50-3;PW;2;OK;1
55-4_PE_2;55-4_PE;55-4;PE;2;OK;1
55-4_PN_2;55-4_PN;55-4;PN;2;HS;0
55-4_PS_2;55-4_PS;55-4;PS;2;OK;1
55-4_PW_2;55-4_PW;55-4;PW;2;OK;1
61-3_PE_2;61-3_PE;61-3;PE;2;OK;1
61-3_PN_2;61-3_PN;61-3;PN;2;HS;0
61-3_PS_2;61-3_PS;61-3;PS;2;OK;1
61-3_PW_2;61-3_PW;61-3;PW;2;OK;1
61-4_PE_2;61-4_PE;61-4;PE;2;OK;1
61-4_PN_2;61-4_PN;61-4;PN;2;OK;1
61-4_PS_2;61-4_PS;61-4;PS;2;OK;1
61-4_PW_2;61-4_PW;61-4;PW;2;OK;1
75-4_PE_2;75-4_PE;75-4;PE;2;OK;1
75-4_PN_2;75-4_PN;75-4;PN;2;OK;1
75-4_PS_2;75-4_PS;75-4;PS;2;OK;1
75-4_PW_2;75-4_PW;75-4;PW;2;HS;0
110-4_PE_2;110-4_PE;110-4;PE;2;OK;1
110-4_PN_2;110-4_PN;110-4;PN;2;OK;1
110-4_PS_2;110-4_PS;110-4;PS;2;OK;1
110-4_PW_2;110-4_PW;110-4;PW;2;OK;1
111-1_PE_2;111-1_PE;111-1;PE;2;?;1
111-1_PN_2;111-1_PN;111-1;PN;2;?;1
111-1_PS_2;111-1_PS;111-1;PS;2;HS;0
111-1_PW_2;111-1_PW;111-1;PW;2;?;1
111-3_PE_2;111-3_PE;111-3;PE;2;?;1
111-3_PN_2;111-3_PN;111-3;PN;2;?;1
111-3_PS_2;111-3_PS;111-3;PS;2;?;1
111-3_PW_2;111-3_PW;111-3;PW;2;?;1
125-3_PE_2;125-3_PE;125-3;PE;2;OK;1
125-3_PN_2;125-3_PN;125-3;PN;2;OK;1
125-3_PS_2;125-3_PS;125-3;PS;2;OK;1
125-3_PW_2;125-3_PW;125-3;PW;2;OK;1
139-2_PE_2;139-2_PE;139-2;PE;2;HS;0
139-2_PN_2;139-2_PN;139-2;PN;2;OK;1
139-2_PS_2;139-2_PS;139-2;PS;2;OK;1
139-2_PW_2;139-2_PW;139-2;PW;2;HS;0
139-4_PE_2;139-4_PE;139-4;PE;2;HS;0
139-4_PN_2;139-4_PN;139-4;PN;2;HS;0
139-4_PS_2;139-4_PS;139-4;PS;2;OK;1
139-4_PW_2;139-4_PW;139-4;PW;2;OK;1
144-3_PE_2;144-3_PE;144-3;PE;2;HS;0
144-3_PN_2;144-3_PN;144-3;PN;2;OK;1
144-3_PS_2;144-3_PS;144-3;PS;2;OK;1
144-3_PW_2;144-3_PW;144-3;PW;2;HS;0
166-2_PE_2;166-2_PE;166-2;PE;2;OK;1
166-2_PN_2;166-2_PN;166-2;PN;2;OK;1
166-2_PS_2;166-2_PS;166-2;PS;2;OK;1
166-2_PW_2;166-2_PW;166-2;PW;2;OK;1
166-4_PE_2;166-4_PE;166-4;PE;2;OK;1
166-4_PN_2;166-4_PN;166-4;PN;2;OK;1
166-4_PS_2;166-4_PS;166-4;PS;2;OK;1
166-4_PW_2;166-4_PW;166-4;PW;2;OK;1
215-2_PE_2;215-2_PE;215-2;PE;2;OK;1
215-2_PN_2;215-2_PN;215-2;PN;2;OK;1
215-2_PS_2;215-2_PS;215-2;PS;2;OK;1
215-2_PW_2;215-2_PW;215-2;PW;2;OK;1
215-3_PE_2;215-3_PE;215-3;PE;2;OK;1
215-3_PN_2;215-3_PN;215-3;PN;2;OK;1
215-3_PS_2;215-3_PS;215-3;PS;2;OK;1
215-3_PW_2;215-3_PW;215-3;PW;2;OK;1
216-4_PE_2;216-4_PE;216-4;PE;2;OK;1
216-4_PN_2;216-4_PN;216-4;PN;2;OK;1
216-4_PS_2;216-4_PS;216-4;PS;2;OK;1
216-4_PW_2;216-4_PW;216-4;PW;2;OK;1
219-1_PE_2;219-1_PE;219-1;PE;2;OK;1
219-1_PN_2;219-1_PN;219-1;PN;2;OK;1
219-1_PS_2;219-1_PS;219-1;PS;2;OK;1
219-1_PW_2;219-1_PW;219-1;PW;2;OK;1
219-4_PE_2;219-4_PE;219-4;PE;2;OK;1
219-4_PN_2;219-4_PN;219-4;PN;2;OK;1
219-4_PS_2;219-4_PS;219-4;PS;2;OK;1
219-4_PW_2;219-4_PW;219-4;PW;2;OK;1
245-2_PE_2;245-2_PE;245-2;PE;2;OK;1
245-2_PN_2;245-2_PN;245-2;PN;2;OK;1
245-2_PS_2;245-2_PS;245-2;PS;2;OK;1
245-2_PW_2;245-2_PW;245-2;PW;2;OK;1
255-1_PE_2;255-1_PE;255-1;PE;2;?;1
255-1_PN_2;255-1_PN;255-1;PN;2;?;1
255-1_PS_2;255-1_PS;255-1;PS;2;?;1
255-1_PW_2;255-1_PW;255-1;PW;2;?;1
14-1_PE_3;14-1_PE;14-janv;PE;3;OK;1
14-1_PN_3;14-1_PN;14-janv;PN;3;OK;1
14-1_PS_3;14-1_PS;14-janv;PS;3;OK;1
14-1_PW_3;14-1_PW;14-janv;PW;3;T;1
14-2_PE_3;14-2_PE;14-févr;PE;3;P;0
14-2_PN_3;14-2_PN;14-févr;PN;3;HS;0
14-2_PS_3;14-2_PS;14-févr;PS;3;OK;1
14-2_PW_3;14-2_PW;14-févr;PW;3;OK;1
15-2_PE_3;15-2_PE;15-févr;PE;3;T;1
15-2_PN_3;15-2_PN;15-févr;PN;3;OK;1
15-2_PS_3;15-2_PS;15-févr;PS;3;OK;1
15-2_PW_3;15-2_PW;15-févr;PW;3;T;1
45-4_PE_3;45-4_PE;45-4;PE;3;HS;0
45-4_PN_3;45-4_PN;45-4;PN;3;T;1
45-4_PS_3;45-4_PS;45-4;PS;3;T;1
45-4_PW_3;45-4_PW;45-4;PW;3;OK;1
50-3_PE_3;50-3_PE;50-3;PE;3;OK;1
50-3_PN_3;50-3_PN;50-3;PN;3;OK;1
50-3_PS_3;50-3_PS;50-3;PS;3;OK;1
50-3_PW_3;50-3_PW;50-3;PW;3;OK;1
55-4_PE_3;55-4_PE;55-4;PE;3;OK;1
55-4_PN_3;55-4_PN;55-4;PN;3;T;1
55-4_PS_3;55-4_PS;55-4;PS;3;HS;0
55-4_PW_3;55-4_PW;55-4;PW;3;T;1
61-3_PE_3;61-3_PE;61-3;PE;3;OK;1
61-3_PN_3;61-3_PN;61-3;PN;3;OK;1
61-3_PS_3;61-3_PS;61-3;PS;3;OK;1
61-3_PW_3;61-3_PW;61-3;PW;3;T;1
61-4_PE_3;61-4_PE;61-4;PE;3;OK;1
61-4_PN_3;61-4_PN;61-4;PN;3;OK;1
61-4_PS_3;61-4_PS;61-4;PS;3;OK;1
61-4_PW_3;61-4_PW;61-4;PW;3;OK;1
75-4_PE_3;75-4_PE;75-4;PE;3;OK;1
75-4_PN_3;75-4_PN;75-4;PN;3;P;1
75-4_PS_3;75-4_PS;75-4;PS;3;OK;1
75-4_PW_3;75-4_PW;75-4;PW;3;OK;1
110-4_PE_3;110-4_PE;110-4;PE;3;OK;1
110-4_PN_3;110-4_PN;110-4;PN;3;OK;1
110-4_PS_3;110-4_PS;110-4;PS;3;OK;1
110-4_PW_3;110-4_PW;110-4;PW;3;OK;1
111-1_PE_3;111-1_PE;111-1;PE;3;OK;1
111-1_PN_3;111-1_PN;111-1;PN;3;OK;1
111-1_PS_3;111-1_PS;111-1;PS;3;OK;1
111-1_PW_3;111-1_PW;111-1;PW;3;OK;1
111-3_PE_3;111-3_PE;111-3;PE;3;OK;1
111-3_PN_3;111-3_PN;111-3;PN;3;OK;1
111-3_PS_3;111-3_PS;111-3;PS;3;OK;1
111-3_PW_3;111-3_PW;111-3;PW;3;OK;1
125-3_PE_3;125-3_PE;125-3;PE;3;OK;1
125-3_PN_3;125-3_PN;125-3;PN;3;OK;1
125-3_PS_3;125-3_PS;125-3;PS;3;OK;1
125-3_PW_3;125-3_PW;125-3;PW;3;OK;1
139-2_PE_3;139-2_PE;139-2;PE;3;T;1
139-2_PN_3;139-2_PN;139-2;PN;3;OK;1
139-2_PS_3;139-2_PS;139-2;PS;3;OK;1
139-2_PW_3;139-2_PW;139-2;PW;3;OK;1
139-4_PE_3;139-4_PE;139-4;PE;3;OK;1
139-4_PN_3;139-4_PN;139-4;PN;3;T;1
139-4_PS_3;139-4_PS;139-4;PS;3;OK;1
139-4_PW_3;139-4_PW;139-4;PW;3;T;1
144-3_PE_3;144-3_PE;144-3;PE;3;OK;1
144-3_PN_3;144-3_PN;144-3;PN;3;S;0
144-3_PS_3;144-3_PS;144-3;PS;3;T;1
144-3_PW_3;144-3_PW;144-3;PW;3;T;1
166-2_PE_3;166-2_PE;166-2;PE;3;OK;1
166-2_PN_3;166-2_PN;166-2;PN;3;OK;1
166-2_PS_3;166-2_PS;166-2;PS;3;OK;1
166-2_PW_3;166-2_PW;166-2;PW;3;OK;1
166-4_PE_3;166-4_PE;166-4;PE;3;OK;1
166-4_PN_3;166-4_PN;166-4;PN;3;OK;1
166-4_PS_3;166-4_PS;166-4;PS;3;OK;1
166-4_PW_3;166-4_PW;166-4;PW;3;OK;1
215-2_PE_3;215-2_PE;215-2;PE;3;OK;1
215-2_PN_3;215-2_PN;215-2;PN;3;OK;1
215-2_PS_3;215-2_PS;215-2;PS;3;OK;1
215-2_PW_3;215-2_PW;215-2;PW;3;OK;1
215-3_PE_3;215-3_PE;215-3;PE;3;Ok;1
215-3_PN_3;215-3_PN;215-3;PN;3;Ok;1
215-3_PS_3;215-3_PS;215-3;PS;3;Ok;1
215-3_PW_3;215-3_PW;215-3;PW;3;Ok;1
216-4_PE_3;216-4_PE;216-4;PE;3;Ok;1
216-4_PN_3;216-4_PN;216-4;PN;3;Ok;1
216-4_PS_3;216-4_PS;216-4;PS;3;Ok;1
216-4_PW_3;216-4_PW;216-4;PW;3;Ok;1
219-1_PE_3;219-1_PE;219-1;PE;3;Ok;1
219-1_PN_3;219-1_PN;219-1;PN;3;P;1
219-1_PS_3;219-1_PS;219-1;PS;3;OK;1
219-1_PW_3;219-1_PW;219-1;PW;3;Ok;1
219-4_PE_3;219-4_PE;219-4;PE;3;Ok;1
219-4_PN_3;219-4_PN;219-4;PN;3;Ok;1
219-4_PS_3;219-4_PS;219-4;PS;3;OK;1
219-4_PW_3;219-4_PW;219-4;PW;3;Ok;1
245-2_PE_3;245-2_PE;245-2;PE;3;Ok;1
245-2_PN_3;245-2_PN;245-2;PN;3;Ok;1
245-2_PS_3;245-2_PS;245-2;PS;3;Ok;1
245-2_PW_3;245-2_PW;245-2;PW;3;Ok;1
255-1_PE_3;255-1_PE;255-1;PE;3;OK;1
255-1_PN_3;255-1_PN;255-1;PN;3;OK;1
