plot;Cryptarcha.undata;Cryptolestes.duplicatus;Dasytes.caeruleus;Eulagius.filicornis;Thymalus.limbatus;Anaspis.fasciata;Clytus.arietis;Grammoptera.abdominalis;Hylis.olexai;Hylurgus.ligniperda;Leiopus.nebulosus;Platystomos.albinus;Abdera.bifasciata;Aspidiphorus.orbiculatus;Calambus.bipustulatus;Glischrochilus.hortensis;Malthinus.sp.;Triplax.russica;Gastrallus.immarginatus;Trypodendron.domesticum;Silvanus.unidentatus;Soronia.punctatissima;Triplax.lepida;Cyclorhipidion.bodoanus;Ischnomera.cyanea;Stenagostus.rhombeus;Tritoma.bipustulata;Mesosa.nebulosa;Phymatodes.testaceus;Orthocis.vestitus;Gnathotrichus.materiarius;Melandrya.barbata;Mycetochara.maura;Stenurella.melanura;Megatoma.undata;Anaspis.garneysi;Nalassus.laevioctostriatus;Lissodema.denticolle;Rhizophagus.depressus;Cartodere.nodifer;Hylastes.opacus;Rutpela.maculata;Cortinicara.gibbosa;Pyrrhidium.sanguineum;Salpingus.planirostris;Salpingus.ruficollis;Hemicoelus.fulvicornis;Pityophthorus.pubescens;Taphrorychus.villifrons;Cerylon.ferrugineum;Glischrochilus.quadriguttatus;Platycerus.caraboides;Rhagium.mordax;Tropideres.albirostris;Ampedus.sanguinolentus;Clerus.mutillarius;Cortodera.humeralis;Microrhagus.pygmaeus;Anaspis.melanopa;Cerambyx.scopolii;Aplocnemus.impressus;Thanasimus.formicarius;Vincenzellus.ruficollis;Epuraea.sp.;Cis.micans;Isoriphis.melasoides;Xyleborus.monographus;Hylurgops.palliatus;Cryptarcha.strigata;Hylastes.attenuatus;Tomicus.piniperda;Enicmus.rugosus;Ampedus.quercicola;Litargus.connexus;Xylosandrus.germanus;Hylastes.linearis;Cetonia.aurata;Rhagium.sycophanta;Enicmus.testaceus;Ampedus.glycerus;Dacne.bipustulata;Scolytus.intricatus;Trypodendron.signatum;Ampedus.nigerrimus;Melasis.buprestoides;Xyleborus.dispar;Ampedus.balteatus;Melanotus.villosus;Rhizophagus.bipustulatus;Corticaria.sp.;Xyleborinus.saxesenii;Soronia.grisea
151.E;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;3;2;0;0;3;1;0;0;1;3;0;0;5;0;0;3;7;0;0;0;1;1;3;5;6;2;7;1;2;182;12;3;7;18;60;99
152.S;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;4;2;0;0;0;0;4;2;0;16;2;11
154.S;0;0;0;0;0;0;0;0;1;0;1;0;4;0;0;0;1;2;0;0;1;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;3;3;1;3;1;3;0;0;1;0;7;0;1;0;1;0;0;1;4;2;1;0;3;0;3;5;6;6;0;1;4;3;6;4;8;8;9;2
2551.S;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;17;0;0;0;1;0;0;6;0;0;0;1;0;1;0;0;1;2;8;0;2;1;1;0;7;1;0;0;1;1;0;2;1;42;2;2;4;8;2;3;2;19;28;25
2554.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2;2;1;0;1;0;1;0;2;0;0;0;4;4;2;1;0;0;1;0;4;1;0;0;0;3;6;18;0;0;6;1;3;6;2;58;51
501.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;2;1;0;0;1;0;0;13;15;3;8;3;2;1;6;2;7;2;8;1;15;4;5;2;14;4;58;7;2;16;21;37;16
503.S;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;2;0;0;152;2;0;4;0;0;0;2;0;2;2;1;4;28;2;4;3;2;3;0;14;4;0;4;7;4;5
1111.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;3;0;0;0;7;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;1;0;2;2;1;8;2;0;4;1;11;0;2;4;0;0;1;2;4;1;27
1112.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;1;2;0;0;1;0;2;1;0;1;24;0;0;2;1;0;2;0;6;2;0;1;2;1;1;0;1;2;1;1;141;1;2;5;4;43;20
1113.S;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;1;1;0;1;0;0;99;1;3;0;3;0;1;1;0;1;1;12;0;3;0;0;3;0;2;3;1;16;7;0;2;2;14
141.S;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;3;2;0;0;0;0;0;0;1;0;5;6;0;10;0;0;2;1;0;0;0;7;1;7;1;3;2;1;0;0;0;1;1;0;10;3;60
142.S;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;1;35;2;0;8;0;0;2;4;1;1;0;2;1;2;2;3;0;0;1;1;3;0;0;5;10;3;40
1444.E;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3;0;0;2;3;2;0;1;1;0;1;0;2;0;4;0;0;1;0;2;0;1;1;6;0;5;0;1;2;3;10;0;2;3;6;6
451.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;1;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;3;0;0;0;1;0;0;0;1;1;0;0;0;2;1;3;77;1;0;0;0;0;0;2;5;0;0;1;2;2;0;2;0;0;1;5;1;0;2;8;15;3;21
454.S;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;1;0;0;0;0;1;1;2;0;0;1;3;1;0;4;3;0;0;3;1;0;2;7;4;3;2
773.W;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;0;0;0;0;0;1;3;1;1;0;0;2;1;0;4;0;4;0;1;0;0;2;2;17;1;2
774.S;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;4;1;0;1;2;9;0;0;0;1;1;1;1;0;0;1;1;2;17
1101.S;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;33;0;0;1;3;3;0;0;4;1;0;1;1;0;1;0;1;4;5;0;2;3;0;8;2;5;7;3;21
1104.S;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;2;3;1;0;3;1;0;1;8;0;3;8;0;1;4;0;19
1662.S;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;1;0;0;0;0;1;0;0;0;0;1;0;3;2;0;0;1;0;0;0;0;0;0;0;0;5;0;1;1;1;0;1;3;0;0;0;3;0;12;1;4;4;3;4;1;0;12;16;20
1663.S;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;16;0;4;1;0;0;0;2;10;1;1;0;6;1;0;1;3;0;1;0;4;12;0;2;1;0;11;1;0;46;2;5;0;5;5;35;6;1;0;4;3;24;2;3;2;3;12;6;1;16;42;1
1664.S;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;2;1;0;1;2;0;1;2;1;1;0;0;1;8;0;0;1;0;0;0;1;0;0;3;1;2;7;0;0;1;0;3;0;0;12;4;5;3;0;8;7;4;1;3;2;2;14;3;5;3;5;10;1;6;9;33;17
457.S;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;2;0;2;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;23;0;0;0;2;0;0;2;0;1;1;4;1;0;1;2;2;3;1;2;1;5;1;10;19;0;9
551.S;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;36;0;0;6;1;1;1;2;0;0;0;6;2;2;2;0;4;0;2;1;1;4;2;3;2;3;1
554.S;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;150;5;0;2;0;3;0;3;1;1;3;1;11;1;3;6;8;2;5;3;21;9;1;4;11;23;15
613.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;1;1;3;0;0;1;0;1;1;6;0;2;0;0;2;2;1;1;0;1;6;0;0;1;13;0;1;5;16;1;1;13;30;13;7
614.S;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;3;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;1;1;0;0;1;3;0;1;0;1;1;86;3;0;4;1;0;1;0;1;2;0;3;5;4;6;6;4;2;7;2;13;8;0;7;4;5;12
144.S;1;1;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;2;2;1;2;1;0;1;0;5;0;2;0;10;0;0;2;1;0;0;0;10;1;1;5;22;0;1;1;0;4;17;3;5;12;8;42
1443.S;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;3;0;0;0;0;1;0;1;0;1;0;1;4;1;1;0;0;0;2;1;0;0;1;0;0;2;2;2;1;5;0;0;1;1;0;2;6;3;1;16;0;2;1;5;0;7;19;1;3;4;5;12
2152.S;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;1;0;1;0;2;0;0;1;1;0;1;0;0;0;0;0;8;0;0;0;0;1;0;1;0;0;0;0;0;10;0;2;5;0;5;1;0;1;1;0;2;5;3;2;11;3;3;2;3;2;6;8;46;12
2153.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;3;1;1;1;0;0;1;0;0;0;1;0;1;0;0;2;1;0;2;1;0;0;1;0;2;12;1;1;3;5;0;2;0;2;0;1;2;0;0;1;20;1;2;3;2;2;12;4;70;8
2163.S;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;1;2;0;2;8;0;1;4;2;1;1;3;17;0;3;0;5;3;16;16;1;2;2;5;2;12;16;21;14
2164.S;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;1;0;0;0;3;0;2;0;0;0;1;2;0;0;3;0;1;2;2;3;3;0;2;0;0;2;0;1;1;4;0;5;6;1;6;1;3;4;10;0;45;31
2452.S;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;3;0;1;0;1;0;0;3;0;0;0;1;2;0;0;0;0;37;1;6;5;1;0;1;3;7;0;2;2;0;1;4;11;1;1;4;12;3;6;6;32;16
2453.E;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;2;2;0;1;0;0;2;1;3;0;14;0;9;2;0;1;1;0;9;0;0;0;0;2;0;20;0;0;2;2;1;3;1;103;0
2453.S;0;0;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;3;0;0;3;5;0;0;0;0;0;1;1;1;14;0;2;3;0;0;1;4;14;2;0;5;3;1;3;15;2;6;5;11;7;4;4;68;16
751.S;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;3;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;1;1;0;0;0;2;0;4;0;0;2;1;0;0;0;7;0;4;5;0;2;5;8;20;24
754.S;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;2;0;1;5;0;0;2;0;1;0;4;1;1;0;3;0;1;6;2;2;0;2;0;0;2;2;2;6;0;17
1253.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;1;0;0;0;1;0;3;3;4;0;0;0;18;3;3;3;1;0;1;2;4;0;1;0;2;1;0;2;2;2;13;15;1;6;5;13;6
1254.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;1;1;17;0;8;3;14;8;0;0;1;3;5;1;1;0;0;2;0;1;2;1;14;18;0;1;1;11;1
1392.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;2;0;0;0;0;17;0;8;6;0;1;1;7;3;2;0;3;6;1;0;5;1;2;1;20;3;4;8;25;5
1394.S;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;8;0;1;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;2;0;1;2;0;0;0;16;0;2;6;7;1;0;4;4;0;0;2;8;0;71;10;0;4;1;8;1;4;6;21;20
1622.S;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;3;0;1;0;2;10;0;0;0;1;8;1;3;0;0;0;0;3;0;1;3;1;1;0;0;2;0;1;1;1;5;2;2;3;0;0;1;9;0;3;8;3;0;0;5;10;1;0;3;14;2;46;4;0;1;5;11;2;2;3;20;12
1624.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;1;0;1;5;1;1;0;0;0;0;0;3;0;1;2;4;4;0;0;0;25;0;0;7;2;1;0;3;3;0;0;21;1;1;1;7;0;1;1;9;1;5;0;7;13
2182.S;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;1;1;0;0;1;0;1;1;0;1;1;0;2;0;2;0;0;0;0;0;1;1;1;1;1;2;2;8;2;6;9;2;0;0;3;8;4;1;0;3;1;0;11;5;1;0;10;2;5;10;8;5
2184.S;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;20;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;4;0;0;2;1;0;0;1;0;4;0;5;8;2;0;1;3;7;0;1;4;5;0;2;8;1;2;1;11;8;9;0;7;11
2191.S;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;23;0;9;4;1;0;1;0;1;2;0;3;1;2;3;13;0;1;2;17;4;4;4;23;2
2194.S;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;13;0;0;1;0;0;1;12;0;0;1;0;1;0;0;0;1;0;2;1;3;1;0;0;0;0;0;14;0;5;17;0;0;1;0;6;0;0;1;7;1;4;7;1;0;0;11;8;1;5;37;7
