1662.S;47.82678;2.49153;P166;P166-N2-S;na;0;0;0;0;0;0;4;0;3;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;12;0;2;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;3;20;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;1;0;1;0;0;0;0;16;3;0;0;1;36;120
1663.S;47.82686;2.49259;P166;P166-N3-S;na;0;0;0;0;0;0;12;0;4;3;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;6;0;0;1;0;1;0;0;0;16;1;4;3;0;0;0;0;3;1;1;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;46;0;35;16;0;1;0;0;0;2;1;6;0;0;0;0;0;0;0;5;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6;1;1;1;2;0;0;0;0;0;0;1;24;0;1;1;0;1;1;0;0;0;0;0;0;0;10;12;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;42;3;0;11;5;59;333
1664.S;47.82704;2.49346;P166;P166-N4-S;na;0;0;0;0;0;0;10;0;2;5;3;0;0;0;0;2;3;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;4;0;0;1;0;1;1;2;0;9;0;2;0;0;0;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;3;2;5;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;1;0;0;0;1;1;1;0;0;14;0;1;17;0;0;0;0;0;0;0;0;0;0;8;7;0;4;1;0;0;0;0;0;0;0;0;3;0;0;0;0;33;5;0;3;8;55;218
2152.S;47.81005;2.44901;P215;P215-N2-S;215.R;0;0;0;0;0;0;3;3;5;3;5;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;0;2;0;1;1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;1;0;0;0;3;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;1;0;2;0;1;12;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;1;1;0;0;0;0;11;0;0;0;0;46;2;0;0;0;44;170
2153.S;47.80968;2.44973;P215;P215-N3-S;215.R;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;12;1;0;0;0;0;0;1;1;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;20;0;0;0;0;70;3;0;2;0;37;177
2163.S;47.81469;5.45224;P216;P216-N3-S;216.R;0;0;0;0;0;0;5;0;5;1;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;17;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;16;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;1;0;1;16;0;0;0;0;21;2;0;2;3;39;179
2164.S;47.81396;2.45245;P216;P216-N4-S;216.R;0;0;0;0;0;0;3;0;4;1;2;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;3;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;1;0;0;0;0;5;0;0;31;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0;1;0;0;0;0;0;6;0;0;0;0;45;1;0;1;0;37;161
2182.S;47.81918;2.45679;P218;P218-N2-S;2182.S;0;0;0;0;0;0;10;0;3;5;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;10;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;0;8;1;0;0;0;0;0;0;8;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;6;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;11;0;0;1;0;8;0;0;2;3;41;134
2184.S;47.8181;2.45592;P218;P218-N4-S;2184.S;0;1;0;0;0;0;11;0;5;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0;7;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;1;0;0;0;1;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;2;0;0;0;0;0;2;1;0;2;1;0;11;0;0;0;0;0;0;1;0;0;0;1;2;0;8;0;0;0;0;0;0;0;0;0;8;0;0;1;0;7;1;0;0;3;40;145
2191.S;47.81942;2.45966;P219;P219-N1-S;2191.S;0;0;0;0;0;0;17;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;3;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;1;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;13;0;0;0;0;23;2;0;0;0;30;136
2194.S;47.818;2.46135;P219;P219-N4-S;2194.S;0;0;1;1;0;0;11;0;7;1;0;0;0;0;0;2;2;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;5;0;6;13;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;4;1;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;17;0;0;0;0;0;0;0;0;0;7;0;0;0;0;37;0;0;0;0;38;186
2452.S;47.81114;2.44395;P245;P245-N2-S;245.R;0;0;0;0;0;0;12;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;0;7;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;2;0;0;0;0;0;0;0;0;4;0;0;16;0;0;0;0;0;0;0;1;0;0;0;1;0;5;2;0;0;0;0;0;0;0;0;11;0;0;2;0;32;4;1;0;3;39;186
2453.E;47.81145;2.44322;P245;P245-N3-E;245.R;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;9;0;9;0;0;0;0;0;0;0;14;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;20;0;0;0;0;103;2;0;0;0;31;194
2453.S;47.81145;2.44322;P245;P245-N3-S;245.R;0;0;0;0;0;0;11;0;3;2;0;1;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;14;0;0;0;0;0;0;0;14;0;0;0;1;0;0;0;1;1;0;0;0;0;0;7;6;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;1;0;0;0;0;0;2;0;3;0;0;16;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;15;0;0;0;0;68;5;0;1;4;41;222
2551.S;47.81405;2.4359;P255;P255-N1-S;2551.S;0;0;0;0;0;0;2;0;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;6;0;0;0;19;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0;0;2;1;0;0;1;1;1;0;0;0;0;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;2;0;0;42;0;0;25;0;0;0;1;0;0;0;0;0;0;17;1;0;1;0;0;0;1;0;1;0;0;1;2;0;0;0;0;28;8;0;8;0;45;214
2554.S;47.81564;2.43532;P255;P255-N4-S;2554.S;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;6;0;0;51;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;18;0;0;0;0;58;6;1;0;0;32;189
451.S;47.78148;2.54945;P45;P45-N1-S;45.R;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;77;0;0;0;0;5;0;1;0;3;0;2;5;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;1;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;3;1;0;1;0;35;176
454.S;47.78214;2.54993;P45;P45-N4-S;45.R;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2;2;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;1;0;25;64
457.S;47.78222;2.553;P45;P45-N7-S;457.S;1;0;0;0;0;0;5;0;1;1;2;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;19;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;1;0;0;1;0;0;0;1;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;10;0;0;0;0;0;0;0;0;0;2;0;0;9;2;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;1;46;120
501.S;47.7983;2.5604;P50;P50-N1-S;501.S;0;0;0;0;0;0;7;0;15;14;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;1;0;2;0;0;0;0;1;0;0;0;21;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;7;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;8;16;0;0;0;0;0;0;0;0;0;5;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;2;1;0;0;0;37;58;0;13;2;42;292
503.S;47.79945;2.56059;P50;P50-N3-S;503.S;0;0;0;0;0;0;4;0;2;3;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;0;4;0;2;0;2;1;0;0;0;0;0;0;0;28;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;1;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2;0;4;14;0;2;2;37;275
551.S;47.80716;2.56397;P55;P55-N1-S;na;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6;0;0;1;1;0;1;0;0;2;0;0;0;0;6;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;36;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;38;103
554.S;47.80903;2.56547;P55;P55-N4-S;na;0;0;0;0;0;0;9;1;3;5;3;0;1;1;0;3;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;11;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;150;0;0;0;0;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;1;0;0;8;0;0;15;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;2;0;0;0;0;23;21;0;5;1;43;314
613.S;47.80185;2.54816;P61;P61-N3-S;61.R;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;1;0;0;1;0;0;0;0;0;30;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13;0;0;0;0;0;1;0;1;0;13;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;13;16;0;6;1;34;143
614.S;47.80141;2.54869;P61;P61-N4-S;61.R;0;0;0;0;0;0;8;0;6;7;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;3;0;0;1;0;1;0;0;0;4;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;86;0;0;0;1;1;0;0;1;3;0;0;2;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;5;5;7;0;0;0;0;0;0;0;1;0;4;0;0;12;0;0;1;0;0;0;0;1;0;0;0;1;1;0;5;0;0;0;0;0;1;0;0;2;0;0;0;0;5;13;0;3;2;53;231
751.S;47.80556;2.51974;P75;P75-N1-S;751.S;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;1;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;1;2;3;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;20;5;0;0;4;28;116
754.S;47.80526;2.51735;P75;P75-N4-S;754.S;0;0;0;0;0;0;2;0;6;2;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;6;0;0;3;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;30;75
773.W;47.80252;2.52524;P77;P77-N3-W;773.W;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;1;21;52
774.S;47.80193;2.52418;P77;P77-N4-S;774.S;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;1;29;63
