Famille;Genre;Espece;code_sp;Habitat;Hab_wood;Hab_other;Size;Wing_type;Wing_brachy;Wing_macro;Wing_dipoly;Diet;Diet_carni;Diet_phyto_omni;Piege;111_1_E;111_1_N;111_1_S;111_1_W;111_3_E;111_3_S;111_3_W;125_3_N;125_3_S;125_3_W;139_2_N;139_2_S;139_4_E;139_4_S;14_1_E;14_1_N;14_1_W;14_2_N;14_2_S;14_2_W;15_2_S;15_2_W;166_2_E;166_2_S;166_2_W;166_4_E;166_4_N;166_4_S;166_4_W;215_2_E;215_2_N;215_2_S;215_2_W;215_3_E;215_3_N;215_3_S;215_3_W;216_4_E;216_4_N;216_4_S;216_4_W;219_1_E;219_1_N;219_1_S;219_1_W;219_4_E;219_4_N;219_4_S;219_4_W;245_2_E;245_2_N;245_2_S;245_2_W;255_1_E;255_1_N;255_1_S;255_1_W;45_4_W;50_3_N;50_3_S;50_3_W;61_3_E;61_4_E;61_4_N;61_4_S;61_4_W;75_4_N;75_4_S
Carabidae;Abax;parallelepipedus;abat;woodland;1;0;18.5;brachypter;1;0;0;carnivorous;1;0;abat;4;5;11;7;3;2;5;1;6;4;1;0;1;0;5;2;2;5;5;3;4;9;1;7;3;1;1;2;6;3;22;5;6;4;0;5;5;13;2;6;7;0;1;0;0;7;5;9;5;21;12;6;2;10;6;5;1;24;5;5;7;1;1;4;4;2;10;19
Carabidae;Abax;ovalis;abov;woodland;1;0;14.3;brachypter;1;0;0;carnivorous;1;0;abov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5
Carabidae;Abax;parallelus;abpa;woodland;1;0;15;brachypter;1;0;0;carnivorous;1;0;abpa;6;3;3;8;2;9;4;1;5;1;0;0;0;0;3;1;0;3;2;2;0;2;0;1;2;1;1;7;5;5;10;6;2;1;0;7;6;2;2;2;6;0;2;0;0;1;0;0;1;10;6;2;0;3;8;5;8;8;0;5;1;0;0;2;1;5;7;20
Carabidae;Amara;lunicollis;amlu;generalist;0;1;7.7;macropter;0;1;0;phytophagous;0;1;amlu;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Carabidae;Amara;similata;amsi;openland;0;1;8.8;macropter;0;1;0;omnivorous;0;1;amsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Carabidae;Amara;tibialis;amti;openland;0;1;5.3;macropter;0;1;0;phytophagous;0;1;amti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Carabidae;Badister;bullatus;babu;woodland;1;0;5.4;macropter;0;1;0;carnivorous;1;0;babu;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Carabus;auratus;caau;generalist;0;1;23.5;brachypter;1;0;0;omnivorous;0;1;caau;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;2;0;1;0;0;0;1;12;3;7;1;0;2;2;1;0;1
Carabidae;Carabus;coriaceus;cacr;woodland;1;0;35;brachypter;1;0;0;carnivorous;1;0;cacr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;1;4;0;0;1;2;6;1;2;0;0;1;0;1;3;1;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Carabus;convexus;cacv;openland;0;1;17;brachypter;1;0;0;carnivorous;1;0;cacv;9;3;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;5;0;0;0;0;0;1;0;0;0;1;0
Carabidae;Carabus;intricatus;cait;woodland;1;0;30;brachypter;1;0;0;carnivorous;1;0;cait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1
Carabidae;Carabus;nemoralis;cane;woodland;1;0;23;brachypter;1;0;0;carnivorous;1;0;cane;6;5;17;3;4;3;10;0;0;0;0;1;0;0;3;4;0;3;3;0;2;2;3;1;7;5;1;3;7;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;23;9;8;31;5;2;0;2;0;2;0;0;0;7;12
Carabidae;Carabus;problematicus;capr;woodland;1;0;25;brachypter;1;0;0;carnivorous;1;0;capr;3;1;2;6;2;0;1;1;3;8;1;10;2;1;1;1;0;2;5;1;2;0;3;0;2;7;7;0;1;7;8;2;1;2;4;8;5;4;1;1;4;2;3;3;5;4;7;7;2;1;5;9;1;0;1;1;6;3;3;2;0;0;0;2;0;0;2;4
Carabidae;Carabus;violaceus;cavi;woodland;1;0;28.5;brachypter;1;0;0;carnivorous;1;0;cavi;8;18;33;11;31;27;18;8;12;16;2;11;4;3;6;4;1;0;1;2;6;0;4;6;5;6;4;6;6;5;5;9;12;14;6;8;1;2;20;14;14;26;7;20;22;15;16;21;6;7;21;22;12;2;4;2;0;1;7;0;1;0;0;0;1;0;5;3
Carabidae;Dyschiriodes;globosus;dygl;generalist;0;1;2.4;dimorf;0;0;1;carnivorous;1;0;dygl;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Lebia;marginata;lema;generalist;0;1;4.5;macropter;0;1;0;carnivorous;1;0;lema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Limodromus;assimilis;lias;woodland;1;0;11;macropter;0;1;0;carnivorous;1;0;lias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Metallina;lampros;mela;generalist;0;1;3.5;dimorf;0;0;1;carnivorous;1;0;mela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Nebria;brevicollis;nebr;generalist;0;1;11.5;macropter;0;1;0;carnivorous;1;0;nebr;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Notiophilus;biguttatus;nobi;woodland;1;0;4.8;dimorf;0;0;1;carnivorous;1;0;nobi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Carabidae;Notiophilus;rufipes;noru;woodland;1;0;5.3;macropter;0;1;0;carnivorous;1;0;noru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Platynus;livens;plli;woodland;1;0;9;macropter;0;1;0;omnivorous;0;1;plli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Carabidae;Poecilus;cupreus;pocu;generalist;0;1;11;macropter;0;1;0;carnivorous;1;0;pocu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;madidus;ptma;woodland;1;0;15.5;brachypter;1;0;0;carnivorous;1;0;ptma;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;melanarius;ptme;generalist;0;1;15;dimorf;0;0;1;omnivorous;0;1;ptme;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Carabidae;Pterostichus;niger;ptni;woodland;1;0;18;macropter;0;1;0;carnivorous;1;0;ptni;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18;1;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0
Carabidae;Pterostichus;oblongopunctatus;ptob;woodland;1;0;10.5;macropter;0;1;0;omnivorous;0;1;ptob;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;strenuus;ptst;generalist;0;1;6;polymorf;0;0;1;carnivorous;1;0;ptst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
